|104.160.161.232 | 1,798|
|159.223.210.14 | 441|
|159.223.218.174 | 437|
|159.223.234.241 | 402|
|159.223.218.183 | 395|
|134.209.202.198 | 390|
|96.9.208.61 | 387|
|159.223.213.78 | 375|
|159.223.218.150 | 374|
|159.223.230.232 | 373|
|159.223.214.65 | 366|
|146.190.18.46 | 365|
|159.223.225.252 | 359|
|159.223.214.88 | 357|
|159.223.230.193 | 356|
|159.223.218.99 | 343|
|159.223.214.74 | 330|
|159.223.217.68 | 301|
|159.223.219.240 | 292|
|146.190.226.71 | 290|
|159.223.215.56 | 287|
|146.190.18.215 | 282|
|146.190.18.223 | 282|
|159.223.220.58 | 276|
|146.190.18.249 | 273|
|146.190.22.200 | 270|
|146.190.23.248 | 261|
|146.190.26.246 | 255|
|146.190.30.247 | 244|
|111.68.105.76 | 239|
|142.93.142.235 | 237|
|146.190.25.76 | 237|
|165.22.204.217 | 236|
|80.211.91.225 | 188|
|159.65.2.24 | 164|
|196.22.249.27 | 152|
|174.138.19.163 | 140|
|95.110.232.79 | 121|
|138.197.111.166 | 107|
|201.71.0.21 | 107|
|142.93.64.63 | 101|
|167.99.48.212 | 96|
|104.248.11.228 | 94|
|80.88.90.139 | 92|
|106.51.0.106 | 87|
|142.93.79.46 | 86|
|142.93.64.151 | 82|
|220.247.166.46 | 82|
|178.62.106.7 | 78|
|142.93.69.164 | 77|

